u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
3,73,inf,inf,inf,715.7129312790149,inf
3,74,inf,inf,inf,891.8256556076417,inf
3,75,inf,inf,inf,144.2809758769326,inf
3,76,inf,inf,inf,422.7398727349953,inf
3,77,inf,inf,inf,459.8140928679764,inf
3,78,inf,inf,inf,406.0898915264944,inf
3,79,inf,inf,inf,609.7515887638178,inf
3,80,inf,inf,inf,405.0802389650722,inf
3,81,inf,inf,inf,157.07959765672945,inf
3,82,inf,inf,inf,410.25967386522404,inf
3,83,inf,inf,inf,604.0281450396166,inf
3,84,inf,inf,inf,120.20399327809372,inf
3,85,inf,inf,inf,318.0015723231569,inf
3,86,inf,inf,inf,446.75384721342914,inf
3,87,inf,inf,inf,924.7405041415673,inf
3,88,inf,inf,inf,534.658769683992,inf
3,89,4.0,186.9655121145937,186.9655121145937,33.52610922848042,5.576713684263921
3,90,inf,inf,inf,891.5391186033286,inf
3,91,inf,inf,inf,714.082628272107,inf
3,92,inf,inf,inf,472.8297790960294,inf
3,93,inf,inf,inf,593.4854673873658,inf
3,94,inf,inf,inf,705.6011621305622,inf
3,95,inf,inf,inf,632.8799254202964,inf
3,96,inf,inf,inf,321.40317359976393,inf
3,97,inf,inf,inf,544.8678738923777,inf
3,98,inf,inf,inf,509.5134934425191,inf
3,99,inf,inf,inf,982.0005091648375,inf
3,100,inf,inf,inf,194.67151820438448,inf
3,101,inf,inf,inf,547.1206448307356,inf
3,102,inf,inf,inf,431.6167281280928,inf
3,103,inf,inf,inf,659.4619018563544,inf
3,104,inf,inf,inf,263.78210705049725,inf
3,105,inf,inf,inf,941.0972319585262,inf
3,106,inf,inf,inf,485.64390246352315,inf
3,107,inf,inf,inf,335.8764653857129,inf
3,108,inf,inf,inf,673.167141206402,inf
3,109,inf,inf,inf,978.6245449609365,inf
3,110,inf,inf,inf,595.8338694636283,inf
3,111,inf,inf,inf,921.1150851006621,inf
4,5,inf,inf,inf,113.22543883774529,inf
4,6,inf,inf,inf,432.2244787144754,inf
4,7,inf,inf,inf,241.3503677229434,inf
4,8,inf,inf,inf,443.90652169122274,inf
4,9,inf,inf,inf,228.79029699705362,inf
4,10,inf,inf,inf,500.6815355093495,inf
4,11,inf,inf,inf,187.85632808079689,inf
4,12,inf,inf,inf,678.5344501202574,inf
4,13,inf,inf,inf,491.06109599519283,inf
4,14,inf,inf,inf,77.62087348130012,inf
4,15,inf,inf,inf,615.3251173160413,inf
4,16,inf,inf,inf,564.6184552421219,inf
4,17,inf,inf,inf,344.70277051396033,inf
4,18,inf,inf,inf,36.796738985948195,inf
4,19,inf,inf,inf,279.0161285660741,inf
4,20,inf,inf,inf,242.52834885843757,inf
4,21,inf,inf,inf,516.6236541235796,inf
4,22,inf,inf,inf,232.4521456128121,inf
4,23,inf,inf,inf,221.14474897677312,inf
4,24,inf,inf,inf,499.001002003002,inf
4,25,inf,inf,inf,66.88796603276258,inf
4,26,inf,inf,inf,523.442451469118,inf
4,27,inf,inf,inf,202.5487595617411,inf
4,28,inf,inf,inf,143.78456106272327,inf
4,29,inf,inf,inf,148.03040228277433,inf
4,30,inf,inf,inf,543.2807745540053,inf
4,31,inf,inf,inf,432.5193637283769,inf
4,32,inf,inf,inf,652.0007668707146,inf
4,33,inf,inf,inf,120.93386622447825,inf
4,34,inf,inf,inf,506.027667227791,inf
4,35,inf,inf,inf,677.8266740103992,inf
4,36,inf,inf,inf,234.6955474652214,inf
4,37,inf,inf,inf,647.2372053582828,inf
4,38,inf,inf,inf,84.11896337925236,inf
4,39,inf,inf,inf,228.67444107289296,inf
4,40,inf,inf,inf,275.61023203067043,inf
4,41,inf,inf,inf,482.2551192055923,inf
4,42,inf,inf,inf,221.19900542271884,inf
4,43,inf,inf,inf,89.40357934669059,inf
4,44,inf,inf,inf,294.56747953567447,inf
4,45,inf,inf,inf,585.1580982948112,inf
4,46,inf,inf,inf,562.645536728054,inf
